GrndTruth,RASTERVALU,Classified,Latitude,Longitude
2,0,0,4073992.801690000109375,611092.840761000057682
0,0,0,4073989.687160000205040,611109.512617000029422
0,0,0,4073980.943179999943823,611133.795898000011221
2,0,0,4073985.823160000145435,611167.122953000012785
0,0,0,4073988.871059999801219,611199.583938000025228
0,0,0,4073993.484550000168383,611235.092825000057928
0,0,0,4073985.090330000035465,611246.001980999950320
0,0,0,4073972.682200000155717,611043.774542000028305
0,0,0,4073967.002780000213534,611053.218040999956429
0,0,0,4073970.317170000169426,611089.126652000006288
0,0,0,4073971.133270000107586,611126.567540999967605
0,0,0,4073964.104780000168830,611170.703820999944583
2,0,0,4073972.432380000129342,611188.141815999988467
0,0,0,4073959.990939999930561,611211.792200000025332
0,0,0,4073965.753639999777079,611245.002668999950401
0,0,0,4073956.759829999879003,611049.120861000032164
0,0,0,4073950.297619999852031,611064.327059000032023
0,0,0,4073944.151850000023842,611077.168217999977060
0,0,0,4073946.650129999965429,611115.974833999993280
0,0,0,4073951.713310000021011,611145.870918000000529
3,3,3,4073949.031820000149310,611152.099963000044227
0,0,0,4073958.408700000029057,611179.714284999994561
1,1,1,4073953.512070000171661,611188.108505000011064
0,0,0,4073947.466229999903589,611201.432664999971166
2,0,0,4073945.084540000185370,611200.883044000016525
0,0,0,4073956.176899999845773,611232.311406000051647
0,0,0,4073935.641040000133216,611023.938198999967426
0,0,0,4073942.386400000192225,611060.146604000008665
0,0,0,4073935.757629999890924,611077.184873000020161
0,0,0,4073929.012269999831915,611094.056590999942273
0,0,0,4073935.724320000037551,611128.649440999957733
0,0,0,4073941.536979999858886,611165.440778000047430
2,0,0,4073931.493900000117719,611182.878772999974899
0,0,0,4073934.525140000041574,611217.038587999995798
1,1,1,4073917.919910000171512,611035.030561999999918
2,2,2,4073920.934499999973923,611077.018321000039577
0,0,0,4073917.386940000113100,611089.576342000043951
0,0,0,4073920.834569999948144,611123.003328999970108
0,2,2,4073912.989969999995083,611143.239397000055760
